Class_in,Ethnic Marker,OCWhite,OCBlack,OCAIAN,OCChinese,OCFilipino,OCAsianIndian,OCVietnamese,OCKorean,OCJapanese,OCNatHaw,OCSamoan,OCChamorro,OCOPI,OCOther,OtherRace,PCWhite,PCLatino,PCBlack,PCAsian,PCAIAN,PCMENA,PCNHPI,StreetRace,LatinoIdentity,Other_LatIdentity,Crime_LI,Crime_I,Finance,Physical,Mental,Sleep,Tasks,Relationships,Discrim_Latino,Discrim_Black,Discrim_White,Discrim_Imm,Trump,Biden,Harris,Vance,AOC,Desantis,Newsom,Sanders,MTG,SCOTUS,Congress,CGA,MAGA,Democrat,Republican,American,Personal
2,,,,,,,,,,,,,,,,,,1,,,,,,2,9,,,3,1,1,1,1,1,1,5,,,5,0,46,48,0,50,0,51,48,0,29,24,34,0,41,17,2,2
2,2,1,,,,,,,,,,,,,,,,,,,,,,2,6,,5,,2,2,1,2,2,1,4,,,5,0,10,30,5,,,50,70,,10,40,30,10,81,10,4,3
1,1,,,,,,1,,,,,,,,,,,,,,,,,4,1,,,4,2,1,1,2,2,2,,4,,5,16,30,60,12,82,,66,,10,,,,0,,,2,3
3,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,,5,3,2,2,2,2,2,,4,,4,3,33,100,0,100,0,58,57,0,69,61,64,0,17,17,3,3
1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,5,,4,2,1,2,1,2,,,1,5,0,9,22,0,53,0,20,72,0,17,2,29,0,7,0,3,4
1,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,,4,2,2,3,3,3,3,2,,,3,61,59,39,99,50,51,20,60,50,85,95,45,10,40,86,3,4
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,3,,1,2,2,2,2,2,,,2,3,88,,,89,0,100,0,0,,100,100,0,100,0,,3,3
2,2,,,,,,,,,,,,,,1,Spanish and Indigenous origin ,,,,,,,,2,9,,,5,2,2,1,1,2,2,,5,,5,0,55,68,0,52,4,46,71,0,20,44,25,0,44,8,2,4
2,2,,,,,,,,,,,,,,1,latina,,,,,,,,2,4,,4,,2,2,1,1,1,2,4,,,5,1,37,40,1,39,0,42,63,41,72,53,52,0,56,24,3,3
2,2,,,,,,,,,,,,,,1,Spanish/Indigenous ,,,,,,,,2,9,,,5,2,2,1,1,2,1,,,1,5,0,48,68,0,88,,70,96,,25,33,25,0,68,2,4,5
2,,,,,,,,,,,,,,,,,,1,,,,,,2,9,,5,,2,2,2,2,2,2,,,2,5,40,,90,40,93,46,92,89,42,,,,,,,2,4
1,2,1,,,,,,,,,,,,,,,,,,,,,,1,6,,5,,1,2,1,1,1,3,5,,,5,5,70,85,10,95,0,75,90,0,35,35,60,0,,15,2,5
1,2,1,,,,,,,,,,,,,,,,,,,,,,1,10,,,3,4,2,2,2,2,2,3,,,3,10,25,25,25,,,,,,25,25,24,10,25,25,4,3
1,1,,,,,,1,,,,,,,,,,,,,,,,,4,1,,5,,3,2,1,3,2,2,,,1,5,0,39,43,0,58,0,45,67,10,1,27,50,0,37,2,2,5
1,1,,,,,,,,1,,,,,,,,,,,,,,,4,1,,5,,4,2,1,1,2,3,,,1,5,0,,65,0,65,0,60,55,0,15,40,,0,,0,2,3
1,,,,,,,,,,,,,,,,,,1,,,,,,2,9,,,5,1,3,1,1,2,2,,5,,5,0,60,95,0,90,0,75,90,5,5,40,,0,50,10,2,4
1,2,,,,,,,,,,,,,,1,Mexican,,,,,,,,2,4,,,4,3,1,1,1,1,2,,,1,5,0,73,79,0,,0,,28,50,31,35,,0,58,0,2,4
1,2,1,,,,,,,,,,,,,,,,,,,,,,2,10,,,2,,3,3,3,3,3,1,,,1,80,0,0,80,0,100,0,0,37,87,62,0,96,0,91,1,5
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,3,,3,2,1,2,2,3,3,,,4,12,67,76,45,,63,69,97,,66,31,,7,42,35,5,2
1,1,1,1,,1,,,,,,,,,,,,,,,,,,,3,1,,,5,4,1,1,2,2,2,,4,,5,0,40,50,10,,35,40,55,20,35,10,,0,45,30,4,2
2,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,5,,2,1,1,1,2,3,5,,,4,0,70,70,0,80,0,80,85,20,0,0,55,0,55,0,2,5
1,3,,,,,,,,,,,,,,1,I am hispanic/latina (Peruvian),,,,,,,,2,11,,2,,3,2,2,2,2,2,,,2,5,60,30,0,20,,10,0,60,19,80,80,40,40,35,65,3,3
2,,,,,,,,,,,,,,,,,,1,,,,,,2,6,,,5,3,1,1,1,1,1,5,,,4,0,55,60,0,85,0,51,80,0,25,30,80,0,30,10,2,4
1,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,5,2,2,2,2,2,2,,4,,5,0,70,70,,,,80,,,,,,,,,3,3
1,,,,,,,,,,,,,,,,,,1,,,,,,2,4,,4,,1,1,1,1,1,1,,,3,4,0,50,81,37,100,50,100,100,50,20,50,50,0,50,50,2,4
