democratic_party_therm,republican_party_therm,respondent_pid,respondent_race,respondent_gender,christ_fundementalist_therm,feminist_therm,labor_union_therm,poor_therm,big_biz_therm,rich_therm,police_therm,scientists_therm
85,40,1,2,1,40,50,60,50,40,50,70,85
30,70,5,1,2,40,0,0,40,40,40,60,50
70,15,1,1,2,60,85,70,100,10,30,75,95
60,40,5,3,1,55,50,60,60,100,80,100,100
70,0,1,1,1,40,50,50,50,40,50,60,70
50,50,5,5,1,50,70,50,100,0,50,50,100
30,85,7,1,2,100,40,50,100,60,70,100,70
50,50,4,1,1,70,70,70,100,60,100,100,70
70,30,1,2,2,50,50,60,85,50,50,100,60
40,60,7,1,1,60,50,40,70,85,70,100,85
50,10,2,1,2,70,15,70,100,60,60,100,70
50,60,5,1,1,50,50,50,70,60,70,85,70
40,60,7,1,2,85,30,50,60,50,50,100,50
50,50,3,3,1,50,50,50,50,50,50,70,85
40,60,7,5,2,70,40,0,85,60,50,100,85
30,0,4,1,2,0,100,60,100,0,50,30,100
15,70,7,6,2,50,15,40,50,40,50,70,50
15,70,5,1,2,50,60,70,50,50,50,85,85
60,20,3,1,1,0,50,100,50,60,50,40,100
100,40,1,2,2,60,85,85,100,60,40,15,85
100,30,3,2,1,50,50,50,50,15,85,70,85
100,100,7,4,1,100,70,70,60,100,100,100,100
40,60,6,5,1,60,50,30,60,70,60,60,60
60,40,3,1,2,15,50,50,60,15,40,60,85
40,60,6,1,2,100,85,70,100,70,85,100,100
85,70,3,2,2,85,40,70,70,85,70,70,60
100,30,1,1,2,60,85,100,85,70,70,100,100
100,0,3,6,2,85,85,85,100,50,50,85,100
15,40,6,1,1,40,70,40,70,60,60,85,100
80,60,3,5,1,50,70,60,70,60,70,85,100
0,100,7,6,1,70,30,50,100,70,50,100,50
70,70,2,1,2,50,50,85,85,70,85,85,85
50,70,6,1,1,60,50,50,70,50,40,70,60
0,60,5,1,2,85,60,30,60,85,60,100,70
70,0,2,2,2,50,50,60,85,50,50,60,50
40,60,5,1,1,50,50,50,50,50,50,50,50
15,60,7,1,2,70,40,50,85,50,60,85,50
70,70,5,5,1,40,50,50,50,70,50,70,60
15,85,7,1,1,85,15,70,85,60,50,100,30
70,30,3,1,2,50,40,50,50,15,30,60,60
70,50,3,1,1,70,100,70,100,40,85,100,100
60,15,2,3,2,0,100,60,85,30,40,40,60
55,40,2,1,2,50,50,60,50,50,50,85,60
70,40,6,1,1,30,49,60,40,40,60,85,100
60,30,1,5,1,40,50,50,50,40,50,70,50
85,40,1,1,2,60,85,85,70,70,70,100,100
60,50,1,5,2,50,50,50,100,70,70,50,100
15,30,5,1,1,30,50,15,50,70,50,85,70
15,100,7,1,2,70,40,40,100,100,100,100,100
50,50,4,1,1,60,50,85,100,30,50,50,100
50,30,3,4,2,85,100,85,100,60,100,100,85
25,65,7,1,1,90,5,20,50,50,65,50,50
70,15,1,1,3,15,100,100,50,15,40,60,85
50,30,2,5,1,30,30,50,50,30,30,50,60
60,0,1,2,2,30,70,85,60,60,60,50,50
60,50,4,4,1,50,70,50,85,40,50,60,60
60,0,2,1,1,0,70,85,70,30,40,70,85
100,85,4,2,2,50,50,50,50,50,50,85,50
50,60,5,1,2,50,70,85,50,60,50,85,70
0,60,7,1,2,50,30,15,70,60,70,85,50
60,30,2,1,2,50,60,50,85,40,50,40,85
15,70,5,1,1,50,50,50,85,40,50,85,60
85,50,2,2,1,70,50,70,60,50,60,40,100
40,60,6,1,1,60,30,30,60,30,60,70,70
